"Area_Name","Year","Cases"
"Andhra Pradesh",2005,935
"Arunachal Pradesh",2005,35
"Assam",2005,1238
"Bihar",2005,1147
"Chandigarh",2005,33
"Chhattisgarh",2005,990
"Dadra & Nagar Haveli",2005,5
"Daman & Diu",2005,2
"Delhi",2005,658
"Goa",2005,20
"Gujarat",2005,324
"Haryana",2005,461
"Himachal Pradesh",2005,141
"Jammu & Kashmir",2005,201
"Jharkhand",2005,753
"Karnataka",2005,343
"Kerala",2005,478
"Lakshadweep",2005,0
"Madhya Pradesh",2005,2921
"Maharashtra",2005,1545
"Manipur",2005,25
"Meghalaya",2005,63
"Mizoram",2005,37
"Nagaland",2005,17
"Odisha",2005,799
"Puducherry",2005,6
"Punjab",2005,398
"Rajasthan",2005,993
"Sikkim",2005,18
"Tamil Nadu",2005,571
"Telangana",2005,1686
"Tripura",2005,0
"Uttar Pradesh",2005,162
"Uttarakhand",2005,1217
"West Bengal",2005,133
"Andaman & Nicobar Islands",2006,6
"Andhra Pradesh",2006,1049
"Arunachal Pradesh",2006,37
"Assam",2006,1244
"Bihar",2006,1232
"Chandigarh",2006,19
"Chhattisgarh",2006,995
"Dadra & Nagar Haveli",2006,6
"Daman & Diu",2006,3
"Delhi",2006,623
"Goa",2006,21
"Gujarat",2006,354
"Haryana",2006,608
"Himachal Pradesh",2006,113
"Jammu & Kashmir",2006,250
"Jharkhand",2006,799
"Karnataka",2006,400
"Kerala",2006,601
"Lakshadweep",2006,0
"Madhya Pradesh",2006,2900
"Maharashtra",2006,1500
"Manipur",2006,40
"Meghalaya",2006,74
"Mizoram",2006,72
"Nagaland",2006,23
"Odisha",2006,985
"Puducherry",2006,9
"Punjab",2006,442
"Rajasthan",2006,1085
"Sikkim",2006,20
"Tamil Nadu",2006,457
"Telangana",2006,1731
"Tripura",2006,0
"Uttar Pradesh",2006,189
"Uttarakhand",2006,1314
"West Bengal",2006,147
"Andaman & Nicobar Islands",2007,3
"Andhra Pradesh",2007,1070
"Arunachal Pradesh",2007,48
"Assam",2007,1437
"Bihar",2007,1555
"Chandigarh",2007,22
"Chhattisgarh",2007,982
"Dadra & Nagar Haveli",2007,7
"Daman & Diu",2007,1
"Delhi",2007,598
"Goa",2007,20
"Gujarat",2007,316
"Haryana",2007,488
"Himachal Pradesh",2007,159
"Jammu & Kashmir",2007,288
"Jharkhand",2007,855
"Karnataka",2007,436
"Kerala",2007,512
"Lakshadweep",2007,1
"Madhya Pradesh",2007,3010
"Maharashtra",2007,1451
"Manipur",2007,20
"Meghalaya",2007,82
"Mizoram",2007,83
"Nagaland",2007,13
"Odisha",2007,939
"Puducherry",2007,9
"Punjab",2007,519
"Rajasthan",2007,1238
"Sikkim",2007,24
"Tamil Nadu",2007,523
"Telangana",2007,2106
"Tripura",2007,0
"Uttar Pradesh",2007,157
"Uttarakhand",2007,1648
"West Bengal",2007,117
"Andaman & Nicobar Islands",2008,12
"Andhra Pradesh",2008,1257
"Arunachal Pradesh",2008,42
"Assam",2008,1438
"Bihar",2008,1302
"Chandigarh",2008,20
"Chhattisgarh",2008,978
"Dadra & Nagar Haveli",2008,6
"Daman & Diu",2008,0
"Delhi",2008,466
"Goa",2008,30
"Gujarat",2008,374
"Haryana",2008,631
"Himachal Pradesh",2008,157
"Jammu & Kashmir",2008,219
"Jharkhand",2008,791
"Karnataka",2008,446
"Kerala",2008,568
"Lakshadweep",2008,2
"Madhya Pradesh",2008,2937
"Maharashtra",2008,1558
"Manipur",2008,38
"Meghalaya",2008,88
"Mizoram",2008,77
"Nagaland",2008,19
"Odisha",2008,1113
"Puducherry",2008,8
"Punjab",2008,517
"Rajasthan",2008,1355
"Sikkim",2008,20
"Tamil Nadu",2008,573
"Telangana",2008,2263
"Tripura",2008,0
"Uttar Pradesh",2008,204
"Uttarakhand",2008,1871
"West Bengal",2008,87
"Andaman & Nicobar Islands",2009,18
"Andhra Pradesh",2009,1188
"Arunachal Pradesh",2009,59
"Assam",2009,1631
"Bihar",2009,929
"Chandigarh",2009,29
"Chhattisgarh",2009,976
"Dadra & Nagar Haveli",2009,4
"Daman & Diu",2009,1
"Delhi",2009,469
"Goa",2009,47
"Gujarat",2009,433
"Haryana",2009,603
"Himachal Pradesh",2009,183
"Jammu & Kashmir",2009,237
"Jharkhand",2009,719
"Karnataka",2009,509
"Kerala",2009,568
"Lakshadweep",2009,1
"Madhya Pradesh",2009,2998
"Maharashtra",2009,1483
"Manipur",2009,31
"Meghalaya",2009,112
"Mizoram",2009,83
"Nagaland",2009,22
"Odisha",2009,1023
"Puducherry",2009,1
"Punjab",2009,511
"Rajasthan",2009,1519
"Sikkim",2009,18
"Tamil Nadu",2009,596
"Telangana",2009,2336
"Tripura",2009,0
"Uttar Pradesh",2009,190
"Uttarakhand",2009,1759
"West Bengal",2009,111
"Andaman & Nicobar Islands",2010,24
"Andhra Pradesh",2010,1362
"Arunachal Pradesh",2010,47
"Assam",2010,1721
"Bihar",2010,795
"Chandigarh",2010,31
"Chhattisgarh",2010,1012
"Dadra & Nagar Haveli",2010,3
"Daman & Diu",2010,1
"Delhi",2010,507
"Goa",2010,36
"Gujarat",2010,408
"Haryana",2010,720
"Himachal Pradesh",2010,160
"Jammu & Kashmir",2010,245
"Jharkhand",2010,773
"Karnataka",2010,586
"Kerala",2010,634
"Lakshadweep",2010,0
"Madhya Pradesh",2010,3135
"Maharashtra",2010,1599
"Manipur",2010,34
"Meghalaya",2010,149
"Mizoram",2010,92
"Nagaland",2010,16
"Odisha",2010,1025
"Puducherry",2010,3
"Punjab",2010,546
"Rajasthan",2010,1571
"Sikkim",2010,18
"Tamil Nadu",2010,686
"Telangana",2010,2311
"Tripura",2010,0
"Uttar Pradesh",2010,238
"Uttarakhand",2010,1563
"West Bengal",2010,121
